timestamp,pump1_flow_m3h,pump2_flow_m3h,pump3_flow_m3h
2024-03-01 00:00:00,36.01,37.71,38.51
2024-03-01 00:00:30,38.82,37.51,39.23
2024-03-01 00:01:00,38.28,38.19,38.31
2024-03-01 00:01:30,38.4,38.48,40.14
2024-03-01 00:02:00,42.32,38.13,38.8
2024-03-01 00:02:30,38.82,36.43,39.52
2024-03-01 00:03:00,39.17,37.41,39.12
2024-03-01 00:03:30,41.02,35.63,40.85
2024-03-01 00:04:00,40.18,38.54,38.82
2024-03-01 00:04:30,39.19,38.31,40.96
2024-03-01 00:05:00,40.67,37.07,39.25
2024-03-01 00:05:30,38.4,38.13,38.22
2024-03-01 00:06:00,40.33,37.97,40.45
2024-03-01 00:06:30,,37.88,40.43
2024-03-01 00:07:00,40.81,38.74,39.2
2024-03-01 00:07:30,39.2,38.65,41.67
2024-03-01 00:08:00,39.31,38.34,39.09
2024-03-01 00:08:30,40.38,36.19,39.67
2024-03-01 00:09:00,39.49,38.81,38.97
2024-03-01 00:09:30,40.0,38.63,40.09
2024-03-01 00:10:00,39.48,38.45,44.28
2024-03-01 00:10:30,38.55,39.69,40.88
2024-03-01 00:11:00,41.26,39.78,44.72
2024-03-01 00:11:30,40.2,37.2,40.39
2024-03-01 00:12:00,38.88,38.47,40.59
2024-03-01 00:12:30,40.35,37.53,39.44
2024-03-01 00:13:00,40.16,38.96,41.17
2024-03-01 00:13:30,39.2,38.11,39.37
2024-03-01 00:14:00,39.73,39.05,40.79
2024-03-01 00:14:30,38.7,38.2,37.96
2024-03-01 00:15:00,41.3,39.93,40.59
2024-03-01 00:15:30,39.24,38.54,38.04
2024-03-01 00:16:00,41.94,38.0,40.58
2024-03-01 00:16:30,39.35,38.5,40.41
2024-03-01 00:17:00,39.9,39.02,41.15
2024-03-01 00:17:30,38.06,36.38,42.06
2024-03-01 00:18:00,40.65,39.74,39.02
2024-03-01 00:18:30,40.11,39.01,39.37
2024-03-01 00:19:00,40.54,39.53,41.19
2024-03-01 00:19:30,39.16,39.06,40.75
2024-03-01 00:20:00,40.88,37.95,40.7
2024-03-01 00:20:30,40.55,37.16,42.74
2024-03-01 00:21:00,40.09,38.98,42.56
2024-03-01 00:21:30,40.41,40.68,42.34
2024-03-01 00:22:00,40.87,37.97,39.93
2024-03-01 00:22:30,41.0,41.19,43.13
2024-03-01 00:23:00,42.72,38.62,40.53
2024-03-01 00:23:30,41.82,39.29,41.34
2024-03-01 00:24:00,39.32,40.07,40.3
2024-03-01 00:24:30,40.15,37.58,41.77
2024-03-01 00:25:00,39.66,39.0,37.83
2024-03-01 00:25:30,39.91,39.39,41.37
2024-03-01 00:26:00,36.57,39.63,43.32
2024-03-01 00:26:30,40.83,38.44,41.69
2024-03-01 00:27:00,43.4,38.83,42.04
2024-03-01 00:27:30,,39.64,42.54
2024-03-01 00:28:00,39.42,39.5,41.02
2024-03-01 00:28:30,40.63,38.58,40.53
2024-03-01 00:29:00,41.33,40.52,43.55
2024-03-01 00:29:30,38.26,38.45,42.01
2024-03-01 00:30:00,39.66,38.46,40.63
2024-03-01 00:30:30,39.94,,40.26
2024-03-01 00:31:00,39.59,39.32,43.84
2024-03-01 00:31:30,40.05,39.83,
2024-03-01 00:32:00,41.31,39.78,42.0
2024-03-01 00:32:30,,39.56,41.91
2024-03-01 00:33:00,41.11,40.87,42.12
2024-03-01 00:33:30,41.2,39.56,41.16
2024-03-01 00:34:00,41.08,40.08,41.74
2024-03-01 00:34:30,40.75,40.76,41.25
2024-03-01 00:35:00,38.9,40.65,42.12
2024-03-01 00:35:30,39.23,39.56,41.38
2024-03-01 00:36:00,41.11,39.88,41.98
2024-03-01 00:36:30,41.55,40.44,
2024-03-01 00:37:00,41.61,39.63,43.83
2024-03-01 00:37:30,41.7,41.64,40.13
2024-03-01 00:38:00,40.35,39.35,40.81
2024-03-01 00:38:30,41.49,38.7,43.09
2024-03-01 00:39:00,39.1,40.92,41.75
2024-03-01 00:39:30,,39.88,
2024-03-01 00:40:00,41.84,42.24,40.37
2024-03-01 00:40:30,41.07,40.04,44.54
2024-03-01 00:41:00,40.34,41.4,42.31
2024-03-01 00:41:30,42.57,39.63,41.43
2024-03-01 00:42:00,41.22,40.32,40.74
2024-03-01 00:42:30,41.31,40.18,41.57
2024-03-01 00:43:00,42.42,40.18,40.79
2024-03-01 00:43:30,41.09,39.5,41.49
2024-03-01 00:44:00,42.74,39.8,44.76
